com.samsung.health.food_info,6307003,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
700.0,0.0,0.0,0.0,0.0,"320 kcal, Per 1 serving",,fatsecret-69412887,0,800.0,4.0,18.0,2024-04-17 01:24:36.293,2024-04-17 01:24:36.293,,5.0,,4.4444447,Nacho Fries(Taco Bell),,,2.3076923,320.0,serving,,3sHRV5oxWU,,1.5,0.0,com.sec.android.app.shealth,35.0,,bd244bb5-0bf9-49ea-9471-89825266e2b8,1,
,0.0,0.0,0.0,280.0,"410 kcal, Per 1 serving",,fatsecret-73442787,156,1030.0,2.0,19.0,2024-04-19 00:08:02.677,2024-04-19 00:08:02.677,,21.0,,0.0,"Everything Bagel with Bacon,Egg & Cheese(Braum's)",4.0,,0.0,410.0,serving,,3sHRV5oxWU,g,8.0,0.0,com.sec.android.app.shealth,38.0,0.3804878,77061c6f-961a-4322-b6cb-f7ac78589bc2,1,
36.0,2.3333333,0.11111111,0.0,5.0,"435 kcal, Per 100g",,fatsecret-38906,15,81.0,,2.43,2024-04-19 00:08:53.142,2024-04-19 00:08:53.142,1.033,0.98,0.755,2.2222223,Oatmeal Cookies (with Raisins),,,1.1538461,65.0,cookie (2-5/8" dia),,3sHRV5oxWU,g,0.485,,com.sec.android.app.shealth,10.26,0.23076923,dc093763-aa08-4282-ae2c-3ad82b52f169,1,
,0.0,0.0,0.0,70.0,"450 kcal, Per 1 serving",,fatsecret-68753220,227,1190.0,3.0,29.0,2024-04-19 04:42:49.799,2024-04-17 01:22:04.893,,20.0,,0.0,Medium Mac & Cheese(Chick-Fil-A),3.0,,0.0,450.0,serving,,3sHRV5oxWU,g,16.0,0.0,com.sec.android.app.shealth,28.0,0.5044444,e75d42b6-70fa-4c7c-9380-8325f5813d8c,1,
,0.0,0.0,0.0,25.0,"330 kcal, Per 1 serving",,fatsecret-70136187,0,120.0,0.0,6.0,2024-04-19 04:44:22.141,2024-04-19 04:44:22.141,,6.0,,0.0,Frosted Lemonade(Chick-fil-A),63.0,,0.0,330.0,serving,,3sHRV5oxWU,,4.0,0.0,com.sec.android.app.shealth,65.0,,c99a3a4b-4f16-4b78-9cb8-a2aaee805ca1,1,
,0.0,0.0,0.0,75.0,"760 kcal, Per 1 gyro",,fatsecret-61274067,0,1640.0,3.0,43.0,2024-04-23 01:22:50.785,2024-04-23 01:22:50.785,,27.0,,0.0,Beef/Lamb Gyro(Nick The Greek),7.0,,0.0,760.0,serving,,3sHRV5oxWU,,17.0,2.0,com.sec.android.app.shealth,64.0,0.0013157895,b931dd28-1336-45dc-9947-f718db84aa93,1,
0.0,0.0,0.0,0.0,0.0,"100 kcal, Per 8 fl oz",,fatsecret-683383,240,35.0,0.0,0.0,2024-04-23 01:23:42.354,2024-04-23 01:23:42.354,0.0,0.0,0.0,0.0,Pink Lemonade(Minute Maid),27.0,,0.0,100.0,serving,,3sHRV5oxWU,ml,0.0,0.0,com.sec.android.app.shealth,28.0,,e9eceb3d-4b42-4e9b-8399-006c558c60b5,1,
,0.0,0.0,0.0,15.0,"210 kcal, Per 1 cookie",,fatsecret-69929381,0,130.0,1.0,9.0,2024-05-11 02:56:44.300,2024-05-11 02:56:44.300,,2.0,,0.0,Double Chocolate Cookie(Subway),20.0,,0.0,210.0,serving,,3sHRV5oxWU,,5.0,0.0,com.sec.android.app.shealth,30.0,,77bc57fa-2b9d-4678-850b-767a109d76cc,1,
200.0,0.0,0.0,0.0,0.0,"110 kcal, Per 1 package ",,fatsecret-1839145,25,140.0,1.0,3.0,2024-05-11 02:56:06.156,2024-05-11 02:56:06.156,1.0,2.0,1.5,1.1111112,Baked! Original Potato Crisps (24.8g)(Lay's),2.0,1.0,0.0,110.0,serving,,3sHRV5oxWU,g,0.0,0.0,com.sec.android.app.shealth,19.0,0.22545454,b0c6f210-08f1-485a-93a0-c92ec9756349,1,
,0.0,0.0,0.0,105.0,"530 kcal, Per 1 serving",,fatsecret-68265976,256,1200.0,2.0,29.0,2024-05-12 04:18:58.035,2024-05-11 02:55:40.922,,34.0,,0.0,6-Inch Chicken & Bacon Ranch (with Rotisserie-Style Chicken)(Subway),5.0,3.0,0.0,530.0,serving,,3sHRV5oxWU,g,11.0,0.0,com.sec.android.app.shealth,39.0,0.48301888,a3e64203-7f3b-419c-981d-b1a4e23bbeef,1,
365.0,0.0,0.0,0.0,20.0,"120 kcal, Per 1 cup",,fatsecret-29450154,8,115.0,0.0,5.0,2024-05-12 04:19:37.317,2024-05-12 04:19:37.317,0.0,8.0,0.0,0.0,2% Milk(A2),12.0,,0.0,120.0,serving,,3sHRV5oxWU,oz,3.0,0.0,com.sec.android.app.shealth,12.0,,3627e70a-f3ca-44f9-9e62-1fba352c7340,1,
14.0,0.0,0.0,0.0,0.0,"458 kcal, Per 100g",,fatsecret-38884,15,49.0,0.5,3.64,2024-05-12 04:19:57.491,2024-05-12 04:19:57.491,1.955,0.52,0.525,2.0,Chocolate Chip Cookies (Soft Type),,,0.15384616,69.0,cookie,,3sHRV5oxWU,g,1.112,,com.sec.android.app.shealth,8.86,0.2173913,cae1d1cd-c3f2-46ea-9d05-d931545cacdd,1,
550.0,0.0,0.0,0.0,10.0,"180 kcal, Per 1 bottle",,fatsecret-3940303,295,210.0,5.0,6.0,2024-07-17 20:21:52.754,2024-07-17 20:21:52.754,,10.0,,0.0,Shakes - French Vanilla(Slim-Fast),18.0,,0.0,180.0,serving,,3sHRV5oxWU,ml,1.5,,com.sec.android.app.shealth,24.0,,cc1525bb-9d17-4a31-873f-efe8121b5042,1,
,0.0,0.0,0.0,40.0,"400 kcal, Per 1 serving",,fatsecret-75655986,140,660.0,2.0,13.0,2024-08-05 16:46:59.806,2024-08-05 16:46:59.806,,12.0,,0.0,Everything Bagel with Cream Cheese(Caribou Coffee),13.0,,0.0,400.0,serving,,3sHRV5oxWU,g,7.0,0.0,com.sec.android.app.shealth,68.0,0.35,ec0c48cc-fd0d-471c-a448-aaa90a1f1fbd,1,
35.0,0.0,0.0,0.0,0.0,"0 kcal, Per 12 fl oz",,fatsecret-5501402,360,150.0,0.0,0.0,2024-08-05 16:47:30.254,2024-08-05 16:47:30.254,0.0,0.0,0.0,0.0,Zero Mixed Berry (Bottle)(Powerade),0.0,,0.0,0.0,serving,,3sHRV5oxWU,ml,0.0,0.0,com.sec.android.app.shealth,0.5,,115b9d31-ea43-423e-8547-75d2f0c34944,1,
,0.0,0.0,0.0,40.0,"510 kcal, Per 1 serving",,fatsecret-85036380,0,1690.0,3.0,29.0,2024-08-08 04:13:48.739,2024-08-08 04:13:48.739,,14.0,,0.0,Stuffed Jalapeños (7 Pc.)(Jack in The Box),5.0,,0.0,510.0,serving,,3sHRV5oxWU,,10.0,0.5,com.sec.android.app.shealth,49.0,,be780ba3-42f9-4224-9f88-1ef01d79a478,1,
,0.0,0.0,0.0,50.0,"350 kcal, Per 1 slice",,fatsecret-1435409,127,670.0,2.0,15.0,2024-08-10 22:28:47.884,2024-08-10 22:28:47.884,,16.0,,0.0,Cheese Pizza Slice(Pizza My Heart),4.0,,0.0,350.0,serving,,3sHRV5oxWU,g,9.0,0.0,com.sec.android.app.shealth,35.0,0.36285713,3f6434cd-85d3-4f62-8f71-d77025472b93,1,
,0.0,0.0,0.0,0.0,"140 kcal, Per 1 can",,fatsecret-740091,12,65.0,0.0,0.0,2024-08-10 22:29:30.533,2024-08-10 22:29:05.378,,0.0,,0.0,Sprite (12 oz)(Sprite),38.0,38.0,0.0,140.0,serving,,3sHRV5oxWU,oz,0.0,,com.sec.android.app.shealth,38.0,,5d5a40ec-bec5-4097-b280-0ef469133ac1,1,
166.0,3.7777777,29.666666,0.0,0.0,"53 kcal, Per 100g",,fatsecret-35890,100,2.0,1.8,0.31,2024-08-10 22:29:44.839,2024-08-10 22:29:44.839,0.06,0.81,0.065,0.8333334,Tangerines (Mandarin Oranges),10.58,,2.8461537,53.0,g,,3sHRV5oxWU,g,0.039,,com.sec.android.app.shealth,13.34,1.8867924,33a39062-4b3d-48cd-8f0f-3c81e0353ac4,100,
,0.0,0.0,0.0,85.0,"550 kcal, Per 1 slice",,fatsecret-3665891,0,1500.0,3.0,31.0,2024-08-10 22:30:10.826,2024-08-10 22:30:10.826,,29.0,,0.0,Pepperoni Slice(Pizza My Heart),3.0,,0.0,550.0,serving,,3sHRV5oxWU,,14.0,,com.sec.android.app.shealth,39.0,,2266d1e7-cdd6-47d5-a1e2-ed4261cce8c9,1,
,0.0,0.0,0.0,0.0,"120 kcal, Per 8 fl oz",,fatsecret-60050,240,10.0,0.0,0.0,2024-08-08 04:12:32.466,2024-08-08 04:12:32.466,,0.0,,0.0,Snapple Apple Juice Drink(Snapple),28.0,,0.0,120.0,serving,,3sHRV5oxWU,ml,0.0,0.0,com.sec.android.app.shealth,30.0,,97ef60fe-9faa-4227-9ad3-ca6e90fc47c0,1,
,0.0,0.0,0.0,50.0,"240 kcal, Per 1 bowl",,fatsecret-113518,177,840.0,2.0,17.0,2024-08-10 23:33:33.907,2024-08-10 23:33:33.907,,16.0,,0.0,Chicken Caesar Salad Bowl(Fresh & Easy),2.0,,0.0,240.0,serving,,3sHRV5oxWU,g,5.0,,com.sec.android.app.shealth,7.0,0.7375,b17baea2-ba3a-42df-8b29-e745b79b34ea,1,
260.0,0.0,0.0,0.0,0.0,"120 kcal, Per 18 crisps",,fatsecret-26410,28,135.0,1.0,3.5,2024-08-10 23:32:13.770,2024-05-12 04:19:19.634,1.0,2.0,2.0,1.6666667,Baked! Original Potato Crisps(Lay's),2.0,2.0,0.7692308,120.0,serving,,3sHRV5oxWU,g,0.5,0.0,com.sec.android.app.shealth,21.0,0.23333333,3d518a43-5833-4444-98f4-8eefa23fc8b5,1,
84.0,0.0,0.0,0.0,0.0,,,fatsecret-4513,195,587.0,3.5,1.74,2024-09-03 23:53:34.465,2024-09-03 23:53:34.465,0.634,4.99,0.626,4.5555553,Brown Rice,0.68,,1.5384616,215.0,"cup, cooked",,3sHRV5oxWU,g,0.349,,com.sec.android.app.shealth,44.42,0.90697676,a334fdd2-8e3f-42a7-bdc7-92a02b9b8cec,1,
26.0,0.0,0.0,0.0,0.0,,,fatsecret-3496,28,134.0,0.6,1.21,2024-09-03 23:54:19.773,2024-09-03 23:54:19.773,0.311,2.66,0.551,5.1666665,Soft White Roll,1.75,,3.0,78.0,"pan, dinner, or small roll (2"" square, 2"" high)",,3sHRV5oxWU,g,0.306,,com.sec.android.app.shealth,13.85,0.35897437,f3a7c089-8a1f-42d8-836f-42ec73a0d9de,1,
434.0,15.222222,13.888889,0.0,23.0,,,fatsecret-4806,232,404.0,5.1,32.02,2024-09-09 05:51:20.390,2024-09-09 05:51:20.390,11.428,9.74,9.735,9.0,"Chilaquiles, Tortilla Casserole with Salsa and Cheese",5.5,,16.615385,443.0,cup,,3sHRV5oxWU,g,9.073,,com.sec.android.app.shealth,31.88,0.523702,877ab412-633c-48a4-95ac-b5382461fd54,1,
210.0,0.0,0.0,0.0,35.0,,,fatsecret-169303,86,60.0,0.0,8.0,2024-09-09 05:51:58.909,2024-09-09 05:51:58.909,,3.0,,0.0,Neapolitan Ice Cream(Great Value),17.0,,0.0,170.0,serving,,3sHRV5oxWU,g,5.0,0.0,com.sec.android.app.shealth,22.0,0.5058824,d0296413-5843-4af1-a063-acf6ac7b2272,1,
,0.0,0.0,0.0,205.0,,,fatsecret-74854381,115,370.0,0.0,16.0,2024-09-10 19:43:01.798,2024-09-10 19:43:01.798,,13.0,,0.0,Chorizo & Eggs(Golden Corral),1.0,,0.0,200.0,serving,,3sHRV5oxWU,g,6.0,0.0,com.sec.android.app.shealth,2.0,0.575,4d0ef4e8-79fb-4fb6-a69d-1070c3d9f083,1,
840.0,0.0,0.0,0.0,,,,fatsecret-3936078,450,130.0,,0.0,2024-09-26 17:16:12.408,2024-09-26 17:16:12.408,,2.0,,5.0,Greens 1(Pressed Juicery),9.0,,6.1538463,50.0,serving,,3sHRV5oxWU,ml,,,com.sec.android.app.shealth,10.0,,dd4dd170-556f-4998-ad5e-73ad56acfe36,1,
30.0,0.0,0.0,0.0,0.0,,,fatsecret-68428529,0,80.0,0.0,0.0,2024-10-31 23:29:24.272,2024-10-31 23:29:24.272,,0.0,,427.77777,Hi-C Orange Lavaburst - Large(McDonald's),80.0,80.0,0.30769232,310.0,serving,,3sHRV5oxWU,,0.0,0.0,com.sec.android.app.shealth,80.0,,3ed2113b-2c58-418a-9ae1-35684dc0b3f8,1,
,0.0,0.0,0.0,45.0,,,fatsecret-30826825,170,590.0,4.0,7.0,2024-11-24 04:20:50.534,2024-11-24 04:20:50.534,,16.0,,0.0,Al Pastor Chicken Street Tacos(Happi Foodi),2.0,,0.0,290.0,serving,,3sHRV5oxWU,g,2.5,,com.sec.android.app.shealth,38.0,0.5862069,963c4df0-cf4f-4791-a2b9-ab310e949437,1,
90.0,0.0,0.0,0.0,0.0,,,fatsecret-26949,0,40.0,0.0,0.0,2024-11-24 04:21:43.403,2024-11-24 04:21:43.403,,0.0,,0.0,Light Cranberry Juice Cocktail(Ocean Spray),11.0,7.0,0.0,50.0,serving,,3sHRV5oxWU,,,,com.sec.android.app.shealth,13.0,,1bd1eb55-9bd5-4d29-bd00-55d070e647cf,1,
139.0,5.0,0.22222222,0.0,17.0,,,fatsecret-2707,83,579.0,1.2,12.08,2024-11-24 04:22:00.869,2024-11-24 04:22:00.869,4.964,8.09,2.057,12.444445,Sandwich,3.41,,7.6923075,252.0,sandwich,,3sHRV5oxWU,g,3.616,,com.sec.android.app.shealth,27.29,0.32936507,4ca0800a-5a94-41d9-afd4-e889598eecce,1,
0.0,0.0,0.0,0.0,0.0,"454.0 kcal, 1",,quickinput-ea8c9777-f19d-4302-b577-68a23fd81361,1,0.0,0.0,0.0,2024-11-25 16:59:09.628,2024-11-25 16:59:06.915,0.0,0.0,0.0,0.0,Banana Protein shake,0.0,0.0,0.0,454.0,serving,,3sHRV5oxWU,120001,0.0,0.0,com.sec.android.app.shealth,0.0,1.0,a15ccde8-f6db-45e9-9283-6c1ba4b95a2a,1,
313.0,11.333333,2.8888888,0.0,57.0,,,fatsecret-2792,155,1525.0,2.2,18.07,2024-11-25 19:51:06.442,2024-11-25 19:51:06.442,6.831,19.25,2.609,15.388889,Ham and Cheese Sandwich with Lettuce and Spread,4.34,,20.0,369.0,sandwich,,3sHRV5oxWU,g,7.305,,com.sec.android.app.shealth,31.51,0.4200542,5e15f992-7c08-457d-8219-478b0bdc08bd,1,
,0.0,0.0,0.0,0.0,,,fatsecret-73748390,0,0.0,4.0,8.0,2024-11-27 18:51:31.046,2024-11-27 18:51:31.046,,1.0,,0.0,Avocado Half(Chop't),1.0,,0.0,80.0,serving,,3sHRV5oxWU,,1.0,0.0,com.sec.android.app.shealth,5.0,,95abc72c-742b-4107-ba66-d33c16d186fe,1,
125.0,0.33333334,8.555555,0.0,0.0,,,fatsecret-36338,100,2.0,1.7,0.13,2024-11-27 18:51:31.046,2024-11-27 18:51:31.046,0.01,0.82,0.057,1.8888888,Chayote (Fruit),1.85,,1.3076923,17.0,g,,3sHRV5oxWU,g,0.028,,com.sec.android.app.shealth,3.9,5.882353,2b950d3f-07a8-47e6-a846-e9e0251fd060,100,
0.0,0.0,0.0,0.0,0.0,"15.0 kcal, 1",,quickinput-b06b99e3-5010-4f9c-aa42-b492c1311719,1,0.0,0.0,0.0,2024-11-27 18:52:06.608,2024-11-27 18:52:03.138,0.0,0.0,0.0,0.0,Miss Ester's Tea,0.0,0.0,0.0,15.0,serving,,3sHRV5oxWU,120001,0.0,0.0,com.sec.android.app.shealth,0.0,1.0,aba38796-c872-44b7-bcad-934bda957bb5,1,
60.0,0.0,0.0,0.0,0.0,"150 kcal, Per 12 chips",,fatsecret-8843673,28,190.0,1.0,8.0,2024-11-30 20:24:30.058,2024-04-19 00:08:37.243,0.0,2.0,0.0,1.6666667,Nacho Cheese Tortilla Chips (28g)(Doritos),0.0,0.0,3.0769231,150.0,serving,,3sHRV5oxWU,g,1.0,0.0,com.sec.android.app.shealth,18.0,0.18666667,6592672c-4c67-4ae0-b494-57b391f2ae81,1,
,0.0,0.0,0.0,,,,fatsecret-77009575,100,69.0,,3.0,2024-12-13 16:07:37.801,2024-12-13 16:07:37.801,,4.8,,0.0,Yogurt(Danone),7.0,,0.0,74.0,serving,,3sHRV5oxWU,g,1.9,,com.sec.android.app.shealth,7.0,1.3513514,b8b71c83-5dd4-4f1f-904a-7fea21651563,1,
50.0,0.0,0.0,0.0,0.0,,,fatsecret-62888753,28,210.0,1.0,8.0,2024-12-13 19:45:11.363,2024-12-13 19:45:11.363,,2.0,,1.6666667,Nacho Cheese(Doritos),0.0,0.0,3.0769231,150.0,serving,,3sHRV5oxWU,g,1.0,0.0,com.sec.android.app.shealth,18.0,0.18666667,8d2e88a4-e2e6-4b25-8c75-92323a15bb8f,1,
,0.0,0.0,0.0,65.0,,,fatsecret-13442695,199,390.0,3.0,6.0,2024-12-17 19:04:49.027,2024-12-17 19:04:49.027,,27.0,,0.0,Pollo Adobo Tacos(MyFitFoods),1.0,,0.0,300.0,serving,,3sHRV5oxWU,g,1.5,,com.sec.android.app.shealth,34.0,0.66333336,6e84b9ff-ac82-4a01-b138-416e973f2d4e,1,
86.0,0.0,0.0,0.0,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2024-12-18 16:17:48.264,2024-04-17 00:49:49.930,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,0.0,0.0,50.0,coffee cup (6 fl oz),,3sHRV5oxWU,g,1.295,,com.sec.android.app.shealth,9.14,3.7,09ab6fbb-1e5d-41e3-be6b-98bd039da91e,1,
423.0,13.333333,5.7777777,0.0,165.0,,,fatsecret-5001,250,1010.0,2.3,14.93,2024-12-18 16:18:06.771,2024-12-18 16:18:06.771,5.798,18.12,1.877,20.944445,Ravioli with Tomato Sauce,4.27,,8.692307,355.0,cup,,3sHRV5oxWU,g,5.698,,com.sec.android.app.shealth,36.67,0.70422536,b5afdb78-d275-4158-8775-71779a563520,1,
0.0,0.0,21.666666,0.0,0.0,,,fatsecret-2034051,240,10.0,0.0,0.0,2026-01-27 03:16:12.783,2024-12-18 19:07:30.292,0.0,0.0,0.0,0.0,Watermelon Fruit Juice Cocktail(AriZona Beverage),19.0,16.0,0.0,70.0,serving,,+NZu810/s3,ml,0.0,0.0,com.sec.android.app.shealth,20.0,,2d9be12b-910c-4954-a9d5-0975741f55d3,1,
0.0,0.0,0.0,0.0,0.0,,,fatsecret-3231261,0,360.0,3.0,11.0,2025-01-02 07:20:47.731,2025-01-02 07:20:47.731,0.0,9.0,0.0,0.0,Pretzel Bites(Wetzel's Pretzels),15.0,,0.0,450.0,serving,,3sHRV5oxWU,,2.0,0.0,com.sec.android.app.shealth,80.0,,4ae54468-aa2c-4a35-9d72-bcc4e6225d87,1,
37.0,0.0,10.777778,0.0,0.0,,,fatsecret-7564,248,5.0,0.0,0.1,2025-01-02 07:21:54.845,2025-01-02 07:21:54.845,0.005,0.17,0.032,2.2222223,Lemonade,24.73,,0.53846157,99.0,cup (8 fl oz),,3sHRV5oxWU,g,0.015,,com.sec.android.app.shealth,25.87,2.5050504,2f706873-f526-45ce-a6f9-d1d9e23a2c16,1,
0.0,0.0,0.0,0.0,0.0,"275.0 kcal, 1",,quickinput-dda231f0-4cf6-40ed-9d27-9e898c0c9b9c,1,0.0,0.0,0.0,2025-01-14 15:40:57.434,2025-01-14 15:40:53.876,0.0,0.0,0.0,0.0,Strawberry Banana Protein Shake,0.0,0.0,0.0,275.0,serving,,3sHRV5oxWU,120001,0.0,0.0,com.sec.android.app.shealth,0.0,1.0,360230b9-bf45-4baa-84f9-a3a3c2d5e23c,1,
0.0,0.0,0.0,0.0,0.0,"130.0 kcal, 1",,quickinput-7e864985-eaab-460d-97f6-c53b823f71f5,1,0.0,0.0,0.0,2025-01-15 15:53:43.388,2025-01-15 15:53:41.394,0.0,0.0,0.0,0.0,Jumex Plus,0.0,0.0,0.0,130.0,serving,,3sHRV5oxWU,120001,0.0,0.0,com.sec.android.app.shealth,0.0,1.0,a29cc82f-03ab-4073-a188-9d63096580d4,1,
422.0,2.0,17.0,0.0,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2025-02-26 20:21:59.753,2025-02-26 20:21:59.753,0.038,1.29,0.086,2.0,Banana,14.43,0.0,1.0,105.0,medium (7" to 7-7/8" long),,u104vMWe/c,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,603796da-17ef-4f01-a1ca-072952238e95,1,
170.0,17.0,20.0,0.0,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2025-02-26 20:21:59.753,2025-02-26 20:21:59.753,0.056,0.93,0.076,2.0,Watermelon,9.42,0.0,1.0,46.0,"cup, diced",,u104vMWe/c,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,12e27908-343a-41e5-827d-e003e753db21,1,
233.0,0.0,149.0,0.0,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2025-02-26 20:21:59.753,2025-02-26 20:21:59.753,0.065,1.02,0.236,4.0,Strawberries,7.08,0.0,2.0,49.0,"cup, halves",,u104vMWe/c,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,bd5e29d0-943a-4f5a-9bbb-2f906a6ab5b8,1,
67.0,6.0,0.0,0.0,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2025-02-26 20:21:59.754,2025-02-26 20:21:59.754,2.754,6.24,1.214,5.0,Fried Egg,0.38,0.0,3.0,89.0,large,,u104vMWe/c,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,ea9c4a8e-60c7-4e9f-8fcd-33eaf4452724,1,
301.0,0.0,2.0,0.0,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2025-02-26 20:21:59.754,2025-02-26 20:21:59.754,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,0.0,1.0,130.0,"breast, bone and skin removed",,u104vMWe/c,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,343f28dc-80ea-49f4-a5bf-42b9f3c6c585,1,
86.0,0.0,0.0,0.0,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2025-02-26 20:21:59.754,2025-02-26 20:21:59.754,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,0.0,0.0,50.0,coffee cup (6 fl oz),,u104vMWe/c,g,1.295,,com.sec.android.app.shealth,9.14,3.7,f5ae4fff-fb5d-4862-a346-359f1dbe3ecd,1,
